Song,Artist(s),Writer(s),Album,Year,Ref.
"""The 1""",Taylor Swift,"Taylor Swift
Aaron Dessner",*Folklore*,2020,[10]
"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,"Olivia Rodrigo
Taylor Swift
Jack Antonoff",*Sour*,2021,[14]
"""22""",Taylor Swift,"Taylor Swift 
Max Martin
Shellback",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Afterglow""",Taylor Swift,"Taylor Swift
Louis Bell
Adam King Feeney",*Lover*,2019,[16]
"""The Albatross""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""The Alchemy""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*The Tortured Poets Department*,2024,
"""The Alcott""","The National
featuring Taylor Swift","Matt Berninger
Aaron Dessner
Taylor Swift",*First Two Pages of Frankenstein*,2023,[17]
"""All of the Girls You Loved Before""",Taylor Swift,"Taylor Swift
Louis Bell
Adam King Feeney",Non-album promotional single[a],2023,[20]
"""All Too Well""",Taylor Swift,"Taylor Swift
Liz Rose",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""All Too Well"" (10 minute version)",Taylor Swift,"Taylor Swift
Liz Rose",*Red (Taylor's Version)*,2021,[21]
"""All You Had to Do Was Stay""",Taylor Swift,"Taylor Swift
Max Martin",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""American Girl"" (cover)",Taylor Swift,Tom Petty,Non-album promotional single[b],2009,[23]
"""Anti-Hero""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]
"""The Archer""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Lover*,2019,[16]
"""August""",Taylor Swift,"Taylor Swift
Jack Antonoff",*Folklore*,2020,[10]
"""Babe""","Sugarland
featuring Taylor Swift","Taylor Swift 
Pat Monahan",*Bigger*,2018,[25]
"""Babe"" (Taylor's Version)",Taylor Swift,"Taylor Swift 
Pat Monahan",*Red (Taylor's Version)*,2021,[21]
"""Baby"" (live cover of ""Baby, Don't You Break My Heart Slow"")",Taylor Swift,"Vonda Shepard
James Newton Howard",*Napster Live*,2006,[26]
"""Back to December""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Bad Blood""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""Bad Blood"" (remixed single version)","Taylor Swift
featuring Kendrick Lamar","Taylor Swift
Max Martin
Shellback
Kendrick Lamar",*1989 (Taylor's Version)* (Deluxe edition),2015 and 2023,[29]
"""Beautiful Eyes""",Taylor Swift,Taylor Swift ‡,*Beautiful Eyes*,2008,[3]
"""Beautiful Ghosts""",Taylor Swift,"Taylor Swift
Andrew Lloyd Webber",*Cats: Highlights from the Motion Picture Soundtrack*,2019,[30]
"""Begin Again""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
