date,country,device_type,video_category,video_title,users,users_dod,video_plays
2024-07-27,India,mobile,education,Stanley Spadowski's Clubhouse,1241,1.0,2133
2024-07-28,India,mobile,education,Stanley Spadowski's Clubhouse,1245,1.0034808445484034,2204
2024-07-29,India,mobile,education,Stanley Spadowski's Clubhouse,1158,0.9307862126534171,1931
2024-07-30,India,mobile,education,Stanley Spadowski's Clubhouse,1021,0.8819158056045963,1737
2024-07-31,India,mobile,education,Stanley Spadowski's Clubhouse,837,0.8199725227255789,1481
2024-08-01,India,mobile,education,Stanley Spadowski's Clubhouse,816,0.9754674747996698,1360
2024-08-02,India,mobile,education,Stanley Spadowski's Clubhouse,822,1.007422366633154,1440
2024-08-03,India,mobile,education,Stanley Spadowski's Clubhouse,961,1.1698095288087633,1668
2024-08-04,India,mobile,education,Stanley Spadowski's Clubhouse,1269,1.321073598097086,2116
2024-08-05,India,mobile,education,Stanley Spadowski's Clubhouse,1606,1.2659189950204115,2815
2024-08-06,India,mobile,education,Stanley Spadowski's Clubhouse,1650,1.0277057931540297,2836
2024-08-07,India,mobile,education,Stanley Spadowski's Clubhouse,972,0.589547937620274,1604
2024-08-08,India,mobile,education,Stanley Spadowski's Clubhouse,664,0.6841422451079848,1119
2024-08-09,India,mobile,education,Stanley Spadowski's Clubhouse,519,0.7823541969072941,928
2024-08-10,India,mobile,education,Stanley Spadowski's Clubhouse,525,1.01291797427455,903
2024-08-11,India,mobile,education,Stanley Spadowski's Clubhouse,596,1.136573773779149,1004
2024-08-12,India,mobile,education,Stanley Spadowski's Clubhouse,771,1.293631622394314,1285
2024-08-13,India,mobile,education,Stanley Spadowski's Clubhouse,1089,1.4129863681035952,1928
2024-08-14,India,mobile,education,Stanley Spadowski's Clubhouse,1532,1.407240669347671,2606
2024-08-15,India,mobile,education,Stanley Spadowski's Clubhouse,2047,1.3363615520089929,3342
2024-08-16,India,mobile,education,Stanley Spadowski's Clubhouse,1859,0.9083512062491648,3163
2024-08-17,India,mobile,education,Stanley Spadowski's Clubhouse,1235,0.6645251418925029,2122
